,mean,std
Med15_Mnase_dMed16,0.7496408299468142,9.290014295044962
Med15_Mnase_dMed5,0.7772564398081916,10.325870862907763
med7_mnase,0.740064179662723,6.062782234512425
med13_mnase,0.68144896810127,4.0880850553200805
N400,0.7543567867052181,10.436527209513754
dAIS1,0.7217496446705544,12.89031749615362
N800,0.7780743890160663,8.507671283843251
N200,0.7062502627485061,6.520549111749162
N100,0.7048970971326954,9.195964459061491
N700,0.7229593133326733,12.235604136434766
N600,0.7767750081811601,9.158292541274296
N300,0.7498686195159627,10.612498076817083
med15_msn2dbd_mnase,0.7275101866918949,12.063923462017883
dABD1,0.7400927540398001,11.447741762075047
d200_400,0.7340050952845482,8.97061481675893
d800_1000,0.7094086011097578,8.328181811608937
N900,0.6924745555554431,5.257786188126833
Med15_Msn2_DBD_C980,0.7135801614929044,2.522344182908856
